Sprachen,Prozent,KI unten,KI oben
andere Sprachen,1.5,1.4730795055695,1.59562109191947
Rätoromanisch,0.3,0.2791480279457,0.33637545459096
"Serbisch, Kroatisch",0.7,0.6188974760955,0.70196416944511
Albanisch,0.8,0.767439607181,0.86195711692657
"Tessiner/bündner-<br>
italienischer Dialekt",0.8,0.8090583176419,0.88134349710632
Spanisch,1.7,1.6759239076754,1.8018910579195
Portugiesisch,2,1.9179428497457,2.05116047310232
Italienisch,8,7.8437266723896,8.07743364637937
Englisch,20.5,20.30311578,20.7066227
Französisch,27.7,27.5630322,27.93044043
Hochdeutsch,33.6,33.344604,33.8455345
Schweizerdeutsch,62.6,62.31121293,62.87281027
