Schweiz;Zürich;Bern;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell A.Rh.;Appenzell I.Rh.;St. Gallen;Graubünden;Aargau;Thurgau;Tessin;Waadt;Wallis;Neuenburg;Genf;Jura
57091.0;9591.0;8855.0;2352.0;272.0;884.0;231.0;207.0;435.0;438.0;1665.0;1956.0;2524.0;1497.0;719.0;664.0;166.0;3618.0;1477.0;3366.0;1900.0;2562.0;4829.0;1732.0;1701.0;2818.0;632.0
57856.0;9764.0;8846.0;2497.0;281.0;812.0;220.0;234.0;429.0;485.0;1642.0;2031.0;2579.0;1526.0;714.0;665.0;147.0;3727.0;1572.0;3463.0;1906.0;2436.0;4961.0;1732.0;1638.0;2898.0;651.0
56489.0;9594.0;8611.0;2404.0;253.0;799.0;225.0;199.0;434.0;496.0;1717.0;1900.0;2328.0;1583.0;683.0;653.0;142.0;3550.0;1446.0;3430.0;1850.0;2418.0;4944.0;1686.0;1697.0;2805.0;642.0
56990.0;9679.0;8505.0;2313.0;272.0;838.0;215.0;213.0;407.0;508.0;1629.0;1936.0;2494.0;1489.0;686.0;655.0;143.0;3631.0;1497.0;3492.0;1840.0;2514.0;4986.0;1781.0;1661.0;2927.0;679.0
56403.0;9466.0;8435.0;2307.0;252.0;809.0;212.0;193.0;392.0;532.0;1588.0;1933.0;2396.0;1481.0;734.0;630.0;134.0;3569.0;1510.0;3439.0;1810.0;2391.0;5031.0;1719.0;1775.0;2962.0;703.0
55924.0;9315.0;8550.0;2356.0;267.0;852.0;205.0;193.0;422.0;538.0;1608.0;1960.0;2432.0;1504.0;709.0;594.0;168.0;3411.0;1446.0;3504.0;1811.0;2388.0;4657.0;1751.0;1633.0;2981.0;669.0
57095.0;9701.0;8601.0;2411.0;282.0;878.0;214.0;214.0;432.0;450.0;1597.0;1989.0;2462.0;1531.0;700.0;617.0;140.0;3555.0;1503.0;3570.0;1814.0;2421.0;4960.0;1691.0;1743.0;2977.0;642.0
55658.0;9301.0;8479.0;2380.0;252.0;849.0;218.0;186.0;380.0;485.0;1609.0;1853.0;2462.0;1452.0;657.0;562.0;147.0;3501.0;1517.0;3398.0;1772.0;2281.0;4933.0;1719.0;1659.0;2966.0;640.0
57718.0;9735.0;8699.0;2509.0;275.0;951.0;268.0;209.0;429.0;506.0;1689.0;1971.0;2500.0;1608.0;694.0;547.0;129.0;3677.0;1565.0;3420.0;1826.0;2414.0;4919.0;1785.0;1709.0;2970.0;714.0
57454.0;9587.0;8643.0;2473.0;281.0;919.0;219.0;190.0;440.0;528.0;1653.0;1904.0;2446.0;1528.0;694.0;557.0;145.0;3645.0;1453.0;3575.0;1880.0;2441.0;5204.0;1693.0;1685.0;2991.0;680.0
59097.0;10075.0;8851.0;2569.0;259.0;899.0;238.0;225.0;441.0;509.0;1731.0;1925.0;2509.0;1657.0;706.0;601.0;155.0;3634.0;1508.0;3723.0;1950.0;2482.0;5073.0;1761.0;1702.0;3223.0;691.0
59763.0;10283.0;8757.0;2693.0;291.0;846.0;233.0;207.0;441.0;534.0;1667.0;2076.0;2595.0;1647.0;754.0;613.0;139.0;3720.0;1562.0;3791.0;1683.0;2672.0;5196.0;1825.0;1706.0;3145.0;687.0
59204.0;10341.0;8692.0;2676.0;252.0;835.0;222.0;228.0;440.0;519.0;1622.0;2039.0;2576.0;1574.0;719.0;588.0;140.0;3676.0;1581.0;3728.0;1767.0;2566.0;5196.0;1803.0;1605.0;3182.0;637.0
60756.0;10655.0;9158.0;2686.0;277.0;852.0;209.0;244.0;407.0;585.0;1710.0;1981.0;2707.0;1643.0;708.0;626.0;142.0;3838.0;1544.0;3744.0;1752.0;2498.0;5397.0;1817.0;1763.0;3112.0;701.0
58602.0;10228.0;8804.0;2503.0;302.0;808.0;200.0;198.0;424.0;508.0;1669.0;1949.0;2567.0;1666.0;717.0;544.0;152.0;3546.0;1522.0;3707.0;1700.0;2508.0;5131.0;1835.0;1657.0;3167.0;590.0
59583.0;10373.0;8992.0;2609.0;287.0;903.0;229.0;235.0;387.0;526.0;1698.0;2097.0;2540.0;1732.0;671.0;559.0;167.0;3447.0;1503.0;3780.0;1791.0;2457.0;5263.0;1893.0;1731.0;3138.0;575.0
