Sprachen,Prozent,KI u,KI o
andere Sprachen,8.1,7.95241287117889,8.16563002773273
Rätoromanisch,0.5,0.46815139969531,0.52229978149686
Tessiner/bündner-<br>italienischer Dialekt,1.4,1.33029968382508,1.39643458787401
"Serbisch, Kroatisch",2.4,2.31974122154357,2.43876578511755
Spanisch,2.8,2.70023061677572,2.82131640336159
Albanisch,3.2,3.12668525353586,3.26887021957103
Portugiesisch,3.7,3.58528968465151,3.72116568741149
Englisch,6.1,6.02445920055835,6.20412840893118
Italienisch,8.3,8.23424907640282,8.4057754864425
Hochdeutsch,11.1,10.97202197,11.21430835
Französisch,23.3,23.16656809,23.34982915
Schweizerdeutsch,56.7,56.57663065,56.86547144
